trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,22.78838889999315,22.78838889999315,space,1.3536331999930553,22.78838889999315,None,,,,,,,,,,,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
0,0.8,0.5,,,,,,,24.159226366671888,None,0,0.9499986000009812,24.159552700002678,None,24.159552700002678,None,24.159552700002678,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
1,0.8,1,,,,,,,25.13232406665726,None,1,1.0644553000456654,25.129173599998467,None,25.129173599998467,None,25.129173599998467,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
2,0.8,0.15848931924611132,,,,,,,26.21277146670424,None,1,0.617296600015834,26.213411900040228,None,26.213411900040228,None,26.213411900040228,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
3,0.8,0.02511886431509579,,,,,,,26.852761066697227,None,1,2.27341660001548,26.85304920002818,None,26.85304920002818,None,26.85304920002818,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
4,0.8,0.00398107170553497,,,,,,,29.14712606667696,None,1,0.8625293999793939,29.143974100006744,None,29.143974100006744,None,29.143974100006744,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
5,0.8,0.0006309573444801928,,,,,,,30.027403866701448,None,1,0.6157546000322327,30.02422540000407,None,30.02422540000407,None,30.02422540000407,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
6,0.4,9.999999999999991e-05,,,,,,,30.667848066663524,None,0,1.4917827000026591,30.665915000019595,None,30.665915000019595,None,30.665915000019595,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
7,0.4,0.0002511886431509578,,,,,,,32.17501426668993,None,0,0.15232719999039546,32.17150540003786,None,32.17150540003786,None,32.17150540003786,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
8,0.4,0.0006309573444801927,,,,,,,32.348538466674896,None,0,0.13278460002038628,32.345297700027004,None,32.345297700027004,None,32.345297700027004,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
9,0.4,0.001584893192461112,,,,,,,32.495263666675115,None,0,0.14761429995996878,32.493117700039875,None,32.493117700039875,None,32.493117700039875,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
10,0.4,0.003981071705534968,,,,,,,32.68161856668691,None,0,0.13969769998220727,32.67856660002144,None,32.67856660002144,None,32.67856660002144,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
11,0.4,0.00999999999999999,,,,,,,32.84183316666555,None,0,0.2790562000009231,32.83839300001273,None,32.83839300001273,None,32.83839300001273,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
12,0.4,0.025118864315095777,,,,,,,33.14843296667483,None,0,0.3677241000114009,33.14575160003733,None,33.14575160003733,None,33.14575160003733,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
13,0.4,0.06309573444801926,,,,,,,33.54881646670789,None,0,0.3635082999826409,33.545836900011636,None,33.545836900011636,None,33.545836900011636,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
14,0.4,0.15848931924611118,,,,,,,33.94883586670427,None,0,0.7347956000012346,33.94578350003576,None,33.94578350003576,None,33.94578350003576,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
15,0.4,0.3981071705534968,,,,,,,34.696219766691016,None,0,0.363946900004521,34.69643100001849,None,34.69643100001849,None,34.69643100001849,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
16,0.4,0.9999999999999989,,,,,,,35.095774766701894,None,0,0.329102799994871,35.093887499999255,None,35.093887499999255,None,35.093887499999255,None,,0.2,001,2020_Oct_19_1404,temp,2020.1.3,None,
