trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,,21.542436100000486,21.542436100000486,space,15.175728999998682,21.542436100000486,None,,,,,,,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
0,0,0,0,,,,,,,36.76443423333379,None,d,1.742009900000994,36.755499700000655,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
1,0,1,0,,,,,,,38.53796533333346,None,u,3.736213099997258,38.52927890000137,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
2,0,2,0,,,,,,,42.29935173333482,None,u,0.720190799998818,42.28889440000057,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
3,0,3,0,,,,,,,43.06076263333355,None,u,0.75591329999952,43.050722800002404,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
4,0,4,0,,,,,,,43.84708233333416,None,u,3.756596300001547,43.83785010000065,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
5,0,5,0,,,,,,,47.63458283333287,None,u,1.5356117999981507,47.624256900002365,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
6,0,6,0,,,,,,,49.1954479333331,None,u,1.1520939000001817,49.19064310000249,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
7,0,7,0,,,,,,,50.382641733333486,None,u,1.162731899999926,50.372428700000455,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
8,0,8,0,,,,,,,51.58299983333612,None,u,1.5237035999998625,51.573904400000174,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
9,0,9,0,,,,,,,53.1298481333329,None,u,2.9548103000015544,53.12155189999976,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
10,0,10,0,,,,,,,56.131288433335186,None,d,1.0719669000027352,56.124586300000374,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
11,0,11,0,,,,,,,57.23830673333262,None,d,0.11811959999977262,57.229452100000344,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
12,0,12,0,,,,,,,57.38478273333433,None,d,0.10466659999656258,57.37423499999932,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
13,0,13,0,,,,,,,57.518202033334575,None,d,0.10637649999989662,57.50788690000263,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
14,0,14,0,,,,,,,57.6518084333334,None,d,0.11783489999652375,57.64207710000119,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
15,0,15,0,,,,,,,57.811763033333165,None,d,0.09154150000176742,57.80095710000023,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
16,0,16,0,,,,,,,57.93182523333283,None,d,0.11135879999710596,57.922172200000205,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
17,0,17,0,,,,,,,58.07873413333485,None,d,0.10529989999849931,58.069880200000625,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
18,0,18,0,,,,,,,58.21230573333426,None,d,0.123529000000417,58.201856300001964,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
19,0,19,0,,,,,,,58.35885373333488,None,d,0.11394980000113719,58.34992310000234,None,,0.2,001,2020_Oct_16_1643,temp,2020.1.3,None,
