trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,space,2.275712199974805,21.653037299984135,None,,,,,,,,,,,,,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
0,0.8,0.1,,,,,21.653037299984135,None,23.96638276661203,None,0,2.200855400005821,23.964058599958662,None,23.964058599958662,None,23.964058599958662,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
1,0.8,0.6309573444801934,,,,,,,26.181183166631186,None,0,1.7576342999818735,26.18455849995371,None,26.18455849995371,None,26.18455849995371,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
2,0.8,1,,,,,,,27.98113166663485,None,1,1.0903424000134692,27.977733599953353,None,27.977733599953353,None,27.977733599953353,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
3,0.4,0.15848931924611132,,,,,,,29.08828546665997,None,0,0.9829669999890029,29.086020299990196,None,29.086020299990196,None,29.086020299990196,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
4,0.4,0.39810717055349715,,,,,,,30.0885531666611,None,0,1.1009381000185385,30.085826799971983,None,30.085826799971983,None,30.085826799971983,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
5,0.4,0.9999999999999998,,,,,,,31.209212066609567,None,0,0.87040260003414,31.205924499954563,None,31.205924499954563,None,31.205924499954563,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
6,0.4,1,,,,,,,32.10262136662301,None,0,0.6972088000038639,32.09911489998922,None,32.09911489998922,None,32.09911489998922,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
7,0.4,1,,,,,,,32.82301736664182,None,0,0.6283210000256076,32.81976449996,None,32.81976449996,None,32.81976449996,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
8,0.4,1,,,,,,,33.463350666632564,None,1,0.8219743000227027,33.47329109994462,None,33.47329109994462,None,33.47329109994462,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
9,0.1,0.39810717055349726,,,,,,,34.317030866634255,None,0,1.4057810999802314,34.31363719998626,None,34.31363719998626,None,34.31363719998626,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
10,0.1,0.5011872336272724,,,,,,,35.74368266662738,None,1,2.963396899984218,35.753952299943194,None,35.753952299943194,None,35.753952299943194,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
11,0.1,0.39810717055349726,,,,,,,38.74469716661066,None,1,0.3883627000031993,38.74173919996247,None,38.74173919996247,None,38.74173919996247,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
12,0.1,0.31622776601683794,,,,,,,39.14510506665489,None,0,0.30852739996043965,39.14258039998822,None,39.14258039998822,None,39.14258039998822,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
13,0.1,0.39810717055349726,,,,,,,39.46619596664483,None,0,0.19727540004532784,39.47105189994909,None,39.47105189994909,None,39.47105189994909,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
14,0.1,0.5011872336272724,,,,,,,39.69203606661564,None,0,0.15438939997693524,39.702075299981516,None,39.702075299981516,None,39.702075299981516,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
15,0.1,0.6309573444801934,,,,,,,39.87899266661067,None,0,0.41365560004487634,39.875442199991085,None,39.875442199991085,None,39.875442199991085,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
16,0.1,0.7943282347242817,,,,,,,40.31938456662853,None,1,3.7428479000227526,40.31627899996238,None,40.31627899996238,None,40.31627899996238,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
17,0.1,0.6309573444801934,,,,,,,44.080737466636734,None,0,0.4982276000082493,44.076960399979725,None,44.076960399979725,None,44.076960399979725,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
18,0.1,0.7943282347242817,,,,,,,44.613991666647294,None,0,0.21641079999972135,44.61109719995875,None,44.61109719995875,None,44.61109719995875,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
19,0.1,1,,,,,,,44.854000066643735,None,1,0.4928734000422992,44.86420739995083,None,44.86420739995083,None,44.86420739995083,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
20,0.1,0.7943282347242815,,,,,,,45.374732666652804,None,1,0.41026430000783876,45.37128359999042,None,45.37128359999042,None,45.37128359999042,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
21,0.1,0.6309573444801932,,,,,,,45.80095746665417,None,0,0.6578687999863178,45.81092979997629,None,45.81092979997629,None,45.81092979997629,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
22,0.1,0.7943282347242816,,,,,,,46.494745366628436,None,1,0.45634909998625517,46.491909399977885,None,46.491909399977885,None,46.491909399977885,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
23,0.1,0.6309573444801932,,,,,,,46.974907866624804,None,1,0.5047477000043727,46.97241919999942,None,46.97241919999942,None,46.97241919999942,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
24,0.1,0.5011872336272722,,,,,,,47.49554916663716,None,0,0.36224280000897124,47.49276249995455,None,47.49276249995455,None,47.49276249995455,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
25,0.1,0.6309573444801932,,,,,,,47.88204566663286,None,0,0.3642737999907695,47.89205339999171,None,47.89205339999171,None,47.89205339999171,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
26,0.1,0.7943282347242816,,,,,,,48.282094966624086,None,1,0.5318913999944925,48.29173359996639,None,48.29173359996639,None,48.29173359996639,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
27,0.1,0.6309573444801932,,,,,,,48.84246206662307,None,1,0.5403685999917798,48.83989149995614,None,48.83989149995614,None,48.83989149995614,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
28,0.1,0.5011872336272722,,,,,,,49.402585266627526,None,1,0.5583882000064477,49.399216199992225,None,49.399216199992225,None,49.399216199992225,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
29,0.1,0.3981071705534972,,,,,,,49.976532366654524,None,0,0.6126104000140913,49.97355209995294,None,49.97355209995294,None,49.97355209995294,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
30,0.1,0.5011872336272722,,,,,,,50.60308766662298,None,0,0.5554681000066921,50.60045369999716,None,50.60045369999716,None,50.60045369999716,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
31,0.1,0.6309573444801932,,,,,,,51.1896610666338,None,0,0.8064771000063047,51.1869162999792,None,51.1869162999792,None,51.1869162999792,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
32,0.1,0.7943282347242816,,,,,,,52.01683916664139,None,1,0.9801013999967836,52.015070799971,None,52.015070799971,None,52.015070799971,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
33,0.1,0.6309573444801932,,,,,,,53.01699996664344,None,1,0.3306309999898076,53.01539299997967,None,53.01539299997967,None,53.01539299997967,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
34,0.1,0.5011872336272722,,,,,,,53.36408166663411,None,0,0.44730419997358695,53.36113839998143,None,53.36113839998143,None,53.36113839998143,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
35,0.1,0.6309573444801932,,,,,,,53.830819966624645,None,0,0.2721752999932505,53.827059699979145,None,53.827059699979145,None,53.827059699979145,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
36,0.1,0.7943282347242816,,,,,,,54.137560366656786,None,1,0.34100459999172017,54.13474759995006,None,54.13474759995006,None,54.13474759995006,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
37,0.1,0.6309573444801932,,,,,,,54.49751106661667,None,1,0.764301199989859,54.494324299972504,None,54.494324299972504,None,54.494324299972504,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
38,0.1,0.5011872336272722,,,,,,,55.28480136662644,None,0,0.6648145000217482,55.28202489996329,None,55.28202489996329,None,55.28202489996329,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
39,0.1,0.6309573444801932,,,,,,,55.96520386665749,None,1,0.6139409000170417,55.962762099981774,None,55.962762099981774,None,55.962762099981774,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
40,0.1,0.5011872336272722,,,,,,,56.618208766627745,None,0,0.7428947999724187,56.61503809998976,None,56.61503809998976,None,56.61503809998976,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
41,0.1,0.6309573444801932,,,,,,,57.37865296664337,None,0,0.6391526999650523,57.37624849996064,None,57.37624849996064,None,57.37624849996064,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
42,0.1,0.7943282347242816,,,,,,,58.03229746665262,None,0,0.6412069000070915,58.029925299983006,None,58.029925299983006,None,58.029925299983006,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
43,0.1,1,,,,,,,58.69906536664736,None,1,0.44591120001859963,58.69583809998585,None,58.69583809998585,None,58.69583809998585,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
44,0.1,0.7943282347242815,,,,,,,59.16583336663122,None,1,2.988564800005406,59.165020299959,None,59.165020299959,None,59.165020299959,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
45,0.1,0.6309573444801932,,,,,,,62.18028506666111,None,1,1.6995379000436515,62.177883599943016,None,62.177883599943016,None,62.177883599943016,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
46,0.1,0.5011872336272722,,,,,,,63.901403466650905,None,0,0.922563000000082,63.91087709995918,None,63.91087709995918,None,63.91087709995918,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
47,0.1,0.6309573444801932,,,,,,,64.86105316662385,None,0,0.16522640001494437,64.85788199998206,None,64.85788199998206,None,64.85788199998206,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
48,0.1,0.7943282347242816,,,,,,,65.06155616662387,None,0,0.7651073000160977,65.0587393999449,None,65.0587393999449,None,65.0587393999449,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
49,0.1,1,,,,,,,65.8484054666517,None,1,0.4121016999706626,65.85860469995532,None,65.85860469995532,None,65.85860469995532,None,,0.2,001,2020_Oct_19_1525,temp,2020.1.3,None,
