3.0939 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
17.5171 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014FB9FD4240>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000014FBA028AC8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.5172 	EXP 	window1: recordFrameIntervals = False
17.6841 	EXP 	window1: recordFrameIntervals = True
17.8674 	EXP 	window1: recordFrameIntervals = False
18.1463 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0. , 0.5]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
18.1854 	EXP 	Sound sound_1 set volume 1.000
18.2022 	EXP 	Created question_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='question_text', opacity=1.0, ori=0, pos=array([0. , 0.2]), rgb=array([255., 255., 255.]), text="'Does your db SPL meter read 113 db SPL?'", units='height', win=Window(...), wrapWidth=1)
18.2077 	EXP 	Created level_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='level_text', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
18.2382 	EXP 	text: autoDraw = True
18.6389 	DATA 	Mouse: Left button down, pos=(548,173)
18.7554 	DATA 	Mouse:  Left button up, pos=(548,175)
19.1388 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (11).
19.1465 	DATA 	Keypress: space
19.1514 	EXP 	text: autoDraw = False
19.1514 	EXP 	level_text: text = 0.1
19.1514 	EXP 	question_text: autoDraw = True
19.1514 	EXP 	level_text: autoDraw = True
20.2076 	DATA 	Keypress: up
20.2404 	EXP 	question_text: autoDraw = False
20.2404 	EXP 	level_text: autoDraw = False
20.2404 	EXP 	level_text: text = 0.6309573444801934
20.2404 	EXP 	question_text: autoDraw = True
20.2404 	EXP 	level_text: autoDraw = True
21.0439 	DATA 	Keypress: up
21.0533 	EXP 	question_text: autoDraw = False
21.0533 	EXP 	level_text: autoDraw = False
21.0533 	EXP 	level_text: text = 1
21.0533 	EXP 	question_text: autoDraw = True
21.0533 	EXP 	level_text: autoDraw = True
21.8507 	DATA 	Keypress: down
21.8544 	EXP 	question_text: autoDraw = False
21.8544 	EXP 	level_text: autoDraw = False
21.8544 	EXP 	level_text: text = 0.15848931924611132
21.8544 	EXP 	question_text: autoDraw = True
21.8544 	EXP 	level_text: autoDraw = True
22.0053 	DATA 	Keypress: down
22.0092 	EXP 	question_text: autoDraw = False
22.0092 	EXP 	level_text: autoDraw = False
22.0092 	EXP 	level_text: text = 0.02511886431509579
22.0092 	EXP 	question_text: autoDraw = True
22.0092 	EXP 	level_text: autoDraw = True
22.1280 	DATA 	Keypress: down
22.1555 	EXP 	question_text: autoDraw = False
22.1555 	EXP 	level_text: autoDraw = False
22.1555 	EXP 	level_text: text = 0.00398107170553497
22.1555 	EXP 	question_text: autoDraw = True
22.1555 	EXP 	level_text: autoDraw = True
22.7149 	DATA 	Keypress: up
22.7219 	EXP 	question_text: autoDraw = False
22.7219 	EXP 	level_text: autoDraw = False
22.7219 	EXP 	level_text: text = 0.015848931924611124
22.7219 	EXP 	question_text: autoDraw = True
22.7219 	EXP 	level_text: autoDraw = True
22.8539 	DATA 	Keypress: up
22.8580 	EXP 	question_text: autoDraw = False
22.8580 	EXP 	level_text: autoDraw = False
22.8580 	EXP 	level_text: text = 0.06309573444801927
22.8580 	EXP 	question_text: autoDraw = True
22.8580 	EXP 	level_text: autoDraw = True
22.9786 	DATA 	Keypress: up
23.0055 	EXP 	question_text: autoDraw = False
23.0055 	EXP 	level_text: autoDraw = False
23.0055 	EXP 	level_text: text = 0.2511886431509578
23.0055 	EXP 	question_text: autoDraw = True
23.0055 	EXP 	level_text: autoDraw = True
23.1335 	DATA 	Keypress: up
23.1394 	EXP 	question_text: autoDraw = False
23.1394 	EXP 	level_text: autoDraw = False
23.1394 	EXP 	level_text: text = 0.9999999999999991
23.1394 	EXP 	question_text: autoDraw = True
23.1394 	EXP 	level_text: autoDraw = True
23.7499 	DATA 	Keypress: up
23.7734 	EXP 	question_text: autoDraw = False
23.7734 	EXP 	level_text: autoDraw = False
23.7734 	EXP 	level_text: text = 1
23.7734 	EXP 	question_text: autoDraw = True
23.7734 	EXP 	level_text: autoDraw = True
24.1869 	DATA 	Keypress: down
24.1908 	EXP 	question_text: autoDraw = False
24.1908 	EXP 	level_text: autoDraw = False
24.1908 	EXP 	level_text: text = 0.251188643150958
24.1908 	EXP 	question_text: autoDraw = True
24.1908 	EXP 	level_text: autoDraw = True
24.3463 	DATA 	Keypress: down
24.3746 	EXP 	question_text: autoDraw = False
24.3746 	EXP 	level_text: autoDraw = False
24.3746 	EXP 	level_text: text = 0.06309573444801933
24.3746 	EXP 	question_text: autoDraw = True
24.3746 	EXP 	level_text: autoDraw = True
24.5014 	DATA 	Keypress: down
24.5087 	EXP 	question_text: autoDraw = False
24.5087 	EXP 	level_text: autoDraw = False
24.5087 	EXP 	level_text: text = 0.015848931924611138
24.5087 	EXP 	question_text: autoDraw = True
24.5087 	EXP 	level_text: autoDraw = True
24.6868 	DATA 	Keypress: up
24.6910 	EXP 	question_text: autoDraw = False
24.6910 	EXP 	level_text: autoDraw = False
24.6910 	EXP 	level_text: text = 0.039810717055349734
24.6910 	EXP 	question_text: autoDraw = True
24.6910 	EXP 	level_text: autoDraw = True
24.8703 	DATA 	Keypress: up
24.8753 	EXP 	question_text: autoDraw = False
24.8753 	EXP 	level_text: autoDraw = False
24.8753 	EXP 	level_text: text = 0.10000000000000002
24.8753 	EXP 	question_text: autoDraw = True
24.8753 	EXP 	level_text: autoDraw = True
25.3187 	DATA 	Keypress: up
25.3274 	EXP 	question_text: autoDraw = False
25.3274 	EXP 	level_text: autoDraw = False
25.3274 	EXP 	level_text: text = 0.25118864315095807
25.3274 	EXP 	question_text: autoDraw = True
25.3274 	EXP 	level_text: autoDraw = True
25.4483 	DATA 	Keypress: up
25.4787 	EXP 	question_text: autoDraw = False
25.4787 	EXP 	level_text: autoDraw = False
25.4787 	EXP 	level_text: text = 0.6309573444801934
25.4787 	EXP 	question_text: autoDraw = True
25.4787 	EXP 	level_text: autoDraw = True
25.5969 	DATA 	Keypress: up
25.6248 	EXP 	question_text: autoDraw = False
25.6248 	EXP 	level_text: autoDraw = False
25.6248 	EXP 	level_text: text = 1
25.6248 	EXP 	question_text: autoDraw = True
25.6248 	EXP 	level_text: autoDraw = True
26.7265 	DATA 	Keypress: down
26.7318 	EXP 	question_text: autoDraw = False
26.7318 	EXP 	level_text: autoDraw = False
26.7318 	EXP 	level_text: text = 0.39810717055349726
26.7318 	EXP 	question_text: autoDraw = True
26.7318 	EXP 	level_text: autoDraw = True
27.3870 	DATA 	Keypress: up
27.3961 	EXP 	question_text: autoDraw = False
27.3961 	EXP 	level_text: autoDraw = False
27.3961 	EXP 	level_text: text = 0.5011872336272724
27.3961 	EXP 	question_text: autoDraw = True
27.3961 	EXP 	level_text: autoDraw = True
27.9867 	DATA 	Keypress: up
27.9948 	EXP 	question_text: autoDraw = False
27.9948 	EXP 	level_text: autoDraw = False
27.9948 	EXP 	level_text: text = 0.6309573444801934
27.9948 	EXP 	question_text: autoDraw = True
27.9948 	EXP 	level_text: autoDraw = True
28.6087 	DATA 	Keypress: up
28.6135 	EXP 	question_text: autoDraw = False
28.6135 	EXP 	level_text: autoDraw = False
28.6135 	EXP 	level_text: text = 0.7943282347242817
28.6135 	EXP 	question_text: autoDraw = True
28.6135 	EXP 	level_text: autoDraw = True
32.1092 	DATA 	Keypress: down
32.1158 	EXP 	question_text: autoDraw = False
32.1158 	EXP 	level_text: autoDraw = False
32.1158 	EXP 	level_text: text = 0.6309573444801934
32.1158 	EXP 	question_text: autoDraw = True
32.1158 	EXP 	level_text: autoDraw = True
32.6094 	DATA 	Keypress: down
32.6153 	EXP 	question_text: autoDraw = False
32.6153 	EXP 	level_text: autoDraw = False
32.6153 	EXP 	level_text: text = 0.5011872336272724
32.6153 	EXP 	question_text: autoDraw = True
32.6153 	EXP 	level_text: autoDraw = True
32.7942 	DATA 	Keypress: down
32.7999 	EXP 	question_text: autoDraw = False
32.7999 	EXP 	level_text: autoDraw = False
32.7999 	EXP 	level_text: text = 0.39810717055349726
32.7999 	EXP 	question_text: autoDraw = True
32.7999 	EXP 	level_text: autoDraw = True
37.6666 	DATA 	Mouse: Left button down, pos=(416,366)
37.7922 	DATA 	Mouse:  Left button up, pos=(416,366)
38.4814 	DATA 	Keypress: down
38.4876 	EXP 	question_text: autoDraw = False
38.4876 	EXP 	level_text: autoDraw = False
38.4876 	EXP 	level_text: text = 0.31622776601683794
38.4876 	EXP 	question_text: autoDraw = True
38.4876 	EXP 	level_text: autoDraw = True
38.9322 	DATA 	Keypress: down
38.9380 	EXP 	question_text: autoDraw = False
38.9380 	EXP 	level_text: autoDraw = False
38.9380 	EXP 	level_text: text = 0.251188643150958
38.9380 	EXP 	question_text: autoDraw = True
38.9380 	EXP 	level_text: autoDraw = True
39.0980 	DATA 	Keypress: down
39.1048 	EXP 	question_text: autoDraw = False
39.1048 	EXP 	level_text: autoDraw = False
39.1048 	EXP 	level_text: text = 0.19952623149688795
39.1048 	EXP 	question_text: autoDraw = True
39.1048 	EXP 	level_text: autoDraw = True
