trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,87.32682609994663,None,space,8.275642399967182,87.32682609994663,None,,,,,,,,,,,,0.2,001,2020_Oct_19_1437,temp,2020.1.3,60.09684005785306,
0,0.8,0.1,,,,,,,95.62458176995861,None,1,2.7999047999619506,95.62444549996872,None,95.62444549996872,None,95.62444549996872,None,,0.2,001,2020_Oct_19_1437,temp,2020.1.3,60.09684005785306,
