trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.6557683999999426,18.43090029997984,None,,,,,,,,,,,,,,001,2020_Oct_19_1605,headphone_calibration,2020.1.3,None,
,,,,,,,18.43090029997984,None,87.91616726661256,None,1,0.14031589997466654,87.91302310000174,None,87.91302310000174,None,87.91302310000174,None,,,,,,,
