trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,press_space.started,press_space.stopped,title_text.started,title_text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15,0.05,0.7079457843841378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.449450899999466,None,0,0.3510238999997455,29.44836359999954,None,29.44836359999954,None,29.44836359999954,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
16,0.05,0.7943282347242813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.81567299999988,None,0,0.5909536999997727,29.815544099999897,None,29.815544099999897,None,29.815544099999897,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
17,0.05,0.8912509381337452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.43645219999944,None,1,0.25090799999998126,30.436539899999843,None,30.436539899999843,None,30.436539899999843,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
18,0.01,0.7943282347242813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.71664729999957,None,0,2.618658100000175,30.716940799999975,None,30.716940799999975,None,30.716940799999975,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
19,0.01,0.812830516164099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.35228759999954,None,0,1.7239377999994758,33.35317279999981,None,33.35317279999981,None,33.35317279999981,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
20,0.01,0.8317637711026706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.10392319999919,None,0,1.5979870999999548,35.10415339999963,None,35.10415339999963,None,35.10415339999963,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
21,0.01,0.8511380382023761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.722472999999624,None,0,1.4590542999994796,36.72236479999992,None,36.72236479999992,None,36.72236479999992,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
22,0.01,0.8709635899560803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.20717939999922,None,0,1.0364648000004308,38.20727309999984,None,38.20727309999984,None,38.20727309999984,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
23,0.01,0.8912509381337451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.27478049999972,None,0,0.7275062999997317,39.2749060999995,None,39.2749060999995,None,39.2749060999995,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
24,0.01,0.9120108393559093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.02561099999984,None,1,0.46122939999986556,40.02579989999958,None,40.02579989999958,None,40.02579989999958,None,,001,2020_Nov_02_1302,headphone_calibration,2020.2.4,59.94521007797712,
