trials.thisTrialN,trials.stepSize,trials.intensity,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.started,key_resp.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
,,,55.507342600030825,55.507342600030825,space,1.8766427000518888,55.507342600030825,None,,,,,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
0,0.8,0.5,,,,,,,57.4036352667065,None,57.40110050002113,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
1,0.8,0.5,,,,,,,62.00570936670216,None,62.00305240001762,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
2,0.8,0.5,,,,,,,63.07285596669341,None,63.06986059999326,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
3,0.8,0.5,,,,,,,63.61944916670133,None,63.616130400041584,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
4,0.8,0.5,,,,,,,64.08620166668358,None,64.08278430002974,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
5,0.8,0.5,,,,,,,64.42018036666947,None,64.4166345000267,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
6,0.8,0.5,,,,,,,64.63300136669228,None,64.63008640002226,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
7,0.8,0.5,,,,,,,64.85983556666567,None,64.86985960003221,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
8,0.8,0.5,,,,,,,65.11327186669611,None,65.11021860002074,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
9,0.8,0.5,,,,,,,65.41999236669314,None,65.4167398000136,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
10,0.8,0.5,,,,,,,65.5803124666602,None,65.57703510002466,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
11,0.8,0.5,,,,,,,65.75376316666758,None,65.75102060002973,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
12,0.8,0.5,,,,,,,65.900129766673,None,65.89674510003533,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
13,0.8,0.5,,,,,,,66.03571636666699,None,66.03022559999954,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
14,0.8,0.5,,,,,,,66.16711836669516,None,66.16358970000874,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
15,0.8,0.5,,,,,,,66.31355566665685,None,66.31090199999744,None,,0.2,001,2020_Oct_19_1343,temp,2020.1.3,None,
