trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,space,0.39016690000426024,8.972261800023261,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_20_1447,headphone_calibration,2020.1.3,60.03247757306277,
,,,,,,,8.972261800023261,None,9.387052899983246,None,space,0,0.2772384000127204,9.387052899983246,None,,,,,,,,,,,,,,,,001,2020_Oct_20_1447,headphone_calibration,2020.1.3,60.03247757306277,
,,,,,,,,,,,,,,,,9.686639100022148,None,space,1,0.33178859995678067,9.686639100022148,None,,,,,,,,,001,2020_Oct_20_1447,headphone_calibration,2020.1.3,60.03247757306277,
,,,,,,,,,,,,,,,,,,,,,,,10.036299300030805,None,space,1,0.27748330001486465,10.036299300030805,None,,001,2020_Oct_20_1447,headphone_calibration,2020.1.3,60.03247757306277,
